Time_slot:10-20, pid:1023, arrival-time:10, remaining_time:1650
Time_slot:20-30, pid:1023, arrival-time:10, remaining_time:1640
Time_slot:30-50, pid:1023, arrival-time:10, remaining_time:1620
Time_slot:50-60, pid:123, arrival-time:50, remaining_time:80
Time_slot:60-70, pid:123, arrival-time:50, remaining_time:70
Time_slot:70-90, pid:1023, arrival-time:10, remaining_time:1600
Time_slot:90-100, pid:13, arrival-time:80, remaining_time:210
Time_slot:100-108, pid:12, arrival-time:80, remaining_time:0
Time_slot:108-118, pid:13, arrival-time:80, remaining_time:200
Time_slot:118-138, pid:123, arrival-time:50, remaining_time:50
Time_slot:138-158, pid:13, arrival-time:80, remaining_time:180
Time_slot:158-178, pid:123, arrival-time:50, remaining_time:30
Time_slot:178-198, pid:13, arrival-time:80, remaining_time:160
Time_slot:198-228, pid:1023, arrival-time:10, remaining_time:1570
Time_slot:228-258, pid:123, arrival-time:50, remaining_time:0
Time_slot:258-288, pid:13, arrival-time:80, remaining_time:130
Time_slot:288-318, pid:1023, arrival-time:10, remaining_time:1540
Time_slot:318-348, pid:13, arrival-time:80, remaining_time:100
Time_slot:348-388, pid:1023, arrival-time:10, remaining_time:1500
Time_slot:388-428, pid:13, arrival-time:80, remaining_time:60
Time_slot:428-468, pid:1023, arrival-time:10, remaining_time:1460
Time_slot:468-500, pid:13, arrival-time:80, remaining_time:28
Time_slot:500-510, pid:1023, arrival-time:10, remaining_time:1450
Time_slot:510-520, pid:13, arrival-time:80, remaining_time:18
Time_slot:520-530, pid:1023, arrival-time:10, remaining_time:1440
Time_slot:530-540, pid:13, arrival-time:80, remaining_time:8
Time_slot:540-560, pid:1023, arrival-time:10, remaining_time:1420
Time_slot:560-568, pid:13, arrival-time:80, remaining_time:0
Time_slot:568-588, pid:1023, arrival-time:10, remaining_time:1400
Time_slot:588-618, pid:1023, arrival-time:10, remaining_time:1370
Time_slot:618-648, pid:1023, arrival-time:10, remaining_time:1340
Time_slot:648-688, pid:1023, arrival-time:10, remaining_time:1300
Time_slot:688-728, pid:1023, arrival-time:10, remaining_time:1260
Time_slot:728-778, pid:1023, arrival-time:10, remaining_time:1210
Time_slot:778-828, pid:1023, arrival-time:10, remaining_time:1160
Time_slot:828-888, pid:1023, arrival-time:10, remaining_time:1100
Time_slot:888-948, pid:1023, arrival-time:10, remaining_time:1040
Time_slot:948-1000, pid:1023, arrival-time:10, remaining_time:988
Time_slot:1000-1010, pid:1023, arrival-time:10, remaining_time:978
Time_slot:1010-1020, pid:1023, arrival-time:10, remaining_time:968
Time_slot:1020-1040, pid:1023, arrival-time:10, remaining_time:948
Time_slot:1040-1060, pid:1023, arrival-time:10, remaining_time:928
Time_slot:1060-1090, pid:1023, arrival-time:10, remaining_time:898
Time_slot:1090-1120, pid:1023, arrival-time:10, remaining_time:868
Time_slot:1120-1160, pid:1023, arrival-time:10, remaining_time:828
Time_slot:1160-1200, pid:1023, arrival-time:10, remaining_time:788
Time_slot:1200-1250, pid:1023, arrival-time:10, remaining_time:738
Time_slot:1250-1300, pid:1023, arrival-time:10, remaining_time:688
Time_slot:1300-1360, pid:1023, arrival-time:10, remaining_time:628
Time_slot:1360-1420, pid:1023, arrival-time:10, remaining_time:568
Time_slot:1420-1480, pid:1023, arrival-time:10, remaining_time:508
Time_slot:1480-1500, pid:1023, arrival-time:10, remaining_time:488
Time_slot:1500-1510, pid:1023, arrival-time:10, remaining_time:478
Time_slot:1510-1520, pid:1023, arrival-time:10, remaining_time:468
Time_slot:1520-1540, pid:1023, arrival-time:10, remaining_time:448
Time_slot:1540-1560, pid:1023, arrival-time:10, remaining_time:428
Time_slot:1560-1590, pid:1023, arrival-time:10, remaining_time:398
Time_slot:1590-1620, pid:1023, arrival-time:10, remaining_time:368
Time_slot:1620-1660, pid:1023, arrival-time:10, remaining_time:328
Time_slot:1660-1700, pid:1023, arrival-time:10, remaining_time:288
Time_slot:1700-1750, pid:1023, arrival-time:10, remaining_time:238
Time_slot:1750-1800, pid:1023, arrival-time:10, remaining_time:188
Time_slot:1800-1860, pid:1023, arrival-time:10, remaining_time:128
Time_slot:1860-1920, pid:1023, arrival-time:10, remaining_time:68
Time_slot:1920-1980, pid:1023, arrival-time:10, remaining_time:8
Time_slot:1980-1988, pid:1023, arrival-time:10, remaining_time:0
